"","Participant","Item","Selection","CategoryType"
"1","1","Water","Is not","Natural"
"2","1","Heavy.Metal","Is","Value"
"3","1","Tiger","Both","Natural"
"4","1","Fork","Both","Artifact"
"5","1","Scientist","Is not","Value"
"6","1","Helium","Is not","Natural"
"7","1","Kettle","Is not","Artifact"
"8","1","Mentor","Is not","Value"
"9","1","Zebra","Is not","Natural"
"10","1","Chair","Is not","Artifact"
"11","1","Argument","Is not","Value"
"12","1","Raccoon","Is","Natural"
"13","1","Razor","Is not","Artifact"
"14","1","Artist","Is","Value"
"15","1","Harpoon","Is","Artifact"
"16","1","Minister","Is not","Value"
"17","1","Gold","Is not","Natural"
"18","1","Shovel","Both","Artifact"
"19","2","Water","Is","Natural"
"20","2","Heavy.Metal","Both","Value"
"21","2","Tiger","Both","Natural"
"22","2","Fork","Is","Artifact"
"23","2","Scientist","Both","Value"
"24","2","Helium","Is","Natural"
"25","2","Kettle","Is not","Artifact"
"26","2","Mentor","Is","Value"
"27","2","Zebra","Is","Natural"
"28","2","Chair","Is not","Artifact"
"29","2","Argument","Both","Value"
"30","2","Raccoon","Is","Natural"
"31","2","Razor","Is not","Artifact"
"32","2","Artist","Is","Value"
"33","2","Harpoon","Is not","Artifact"
"34","2","Minister","Both","Value"
"35","2","Gold","Is","Natural"
"36","2","Shovel","Is not","Artifact"
"37","3","Water","Is not","Natural"
"38","3","Heavy.Metal","Both","Value"
"39","3","Tiger","Is not","Natural"
"40","3","Fork","Both","Artifact"
"41","3","Scientist","Both","Value"
"42","3","Helium","Both","Natural"
"43","3","Kettle","Both","Artifact"
"44","3","Mentor","Is","Value"
"45","3","Zebra","Is not","Natural"
"46","3","Chair","Both","Artifact"
"47","3","Argument","Both","Value"
"48","3","Raccoon","Is not","Natural"
"49","3","Razor","Both","Artifact"
"50","3","Artist","Both","Value"
"51","3","Harpoon","Both","Artifact"
"52","3","Minister","Is not","Value"
"53","3","Gold","Is not","Natural"
"54","3","Shovel","Both","Artifact"
"55","4","Water","Both","Natural"
"56","4","Heavy.Metal","Both","Value"
"57","4","Tiger","Both","Natural"
"58","4","Fork","Both","Artifact"
"59","4","Scientist","Both","Value"
"60","4","Helium","Both","Natural"
"61","4","Kettle","Is not","Artifact"
"62","4","Mentor","Is not","Value"
"63","4","Zebra","Both","Natural"
"64","4","Chair","Is not","Artifact"
"65","4","Argument","Is not","Value"
"66","4","Raccoon","Both","Natural"
"67","4","Razor","Is not","Artifact"
"68","4","Artist","Both","Value"
"69","4","Harpoon","Both","Artifact"
"70","4","Minister","Both","Value"
"71","4","Gold","Both","Natural"
"72","4","Shovel","Both","Artifact"
"73","5","Water","Is not","Natural"
"74","5","Heavy.Metal","Both","Value"
"75","5","Tiger","Is not","Natural"
"76","5","Fork","Is","Artifact"
"77","5","Scientist","Both","Value"
"78","5","Helium","Is not","Natural"
"79","5","Kettle","Both","Artifact"
"80","5","Mentor","Both","Value"
"81","5","Zebra","Is not","Natural"
"82","5","Chair","Both","Artifact"
"83","5","Argument","Is not","Value"
"84","5","Raccoon","Is not","Natural"
"85","5","Razor","Both","Artifact"
"86","5","Artist","Is","Value"
"87","5","Harpoon","Both","Artifact"
"88","5","Minister","Is not","Value"
"89","5","Gold","Is not","Natural"
